,count,mean,std,min,25%,50%,75%,max
r1,1070994.0,215.22781109069163,1439.696351815931,0.000319496113677538,71.15844104974539,150.45074068914278,241.05263157894737,836000.0
r2,1070994.0,576.0425884270308,7757.850910550575,0.0007073252810229793,170.53869731800765,493.3333333333333,680.3571428571429,3712000.0
r3,1070994.0,262.31236677424135,3756.4993759097392,8.608601097874724e-05,68.8463822127654,234.9206349206349,333.0882352941176,2930000.0
r4,1070994.0,11.34085603629406,211.17276337419298,8.333333333333334e-06,2.2388484066731524,4.55975,7.227727272727273,154070.64458689457
r5,1070994.0,33.937439805133415,2424.133717573307,0.00020086735895041022,5.607847068257936,14.88,20.294117647058822,1549530.0
r6,1070994.0,15.90519840724273,1438.0704099065374,1.038032528487495e-05,1.7364433811802233,7.083636363636364,10.033888888888889,1318500.0
r7,1070994.0,27.814596134974508,373.30102791508585,8.333333333333334e-06,5.137,8.493884325118547,13.501270082776859,248117.55703949413
r8,1070994.0,64.16044559942368,3066.846868646721,0.0003062474479379338,16.719695945945944,26.81687242798354,36.02,1670400.0
r9,1070994.0,25.553496123226747,1487.7477862867086,6.049250622098094e-05,6.57399242999532,12.589451401118453,17.569886633825945,1318500.0
r1_zip5,1070994.0,1.0000000000000016,6.042821604826523,1.871599528644075e-06,0.4115976731114589,0.8853999954549494,1.2108407790663003,2680.806149644627
r2_zip5,1070994.0,1.0000000000000306,7.945080646399228,1.23903028227966e-06,0.3371469855090966,0.892886705049095,1.2008053590859051,3561.424570607132
r3_zip5,1070994.0,0.9999999999999521,9.777373420052074,3.620323768580597e-07,0.30531439255393206,0.8547974078294264,1.1750979731489033,5457.4654270996825
r4_zip5,1070994.0,1.0000000000000948,12.614901015235894,1.5419162075660215e-06,0.2180677202474655,0.6857680519564572,1.0228586598669203,7922.451164964823
r5_zip5,1070994.0,0.9999999999999714,19.079267143437008,1.1365321273507744e-06,0.18419915557909955,0.629755539309335,0.9207612627201974,8728.887794259399
r6_zip5,1070994.0,0.9999999999999889,21.32794737282808,2.7237961187686426e-07,0.12589529880170103,0.5460499132404766,0.8387704347769936,9303.677505198144
r7_zip5,1070994.0,1.0000000000000957,10.294482993695928,7.879156489202862e-07,0.24467446456021594,0.5936411405828863,0.9086627005409499,5724.815842214618
r8_zip5,1070994.0,0.9999999999999519,15.882293669949085,6.110378942532079e-06,0.29092338413100544,0.6284466890199929,0.886012203267629,7615.141679607787
r9_zip5,1070994.0,0.999999999999963,17.434279804293393,1.090398610592959e-06,0.2646457271185727,0.5839908051955737,0.8367274492630072,8740.796899055336
r1_zip3,1070994.0,1.0000000000000584,8.508620989343232,1.623574666789885e-06,0.39073251791704466,0.8318692198559171,1.2085213302415823,5190.150773904477
